Action,Square Item,Square SKUs,Qty,Best Shopify Product,Score,Square Variations
ALIGN,Purple Haze Live Rosin (THCA 78.06%),"PHLR1,PHLR5,PHLR25",0,via SKU,1.0,1 Gram(PHLR1) | 5 Grams(PHLR5) | 25 Grams(PHLR25)
REVIEW,Purple Papaya Live Rosin (THCA 77.37%),"330922R,5942184,8272934",0,Nigerian Haze Live Rosin (THCA 77.46%),0.4,1 Gram(330922R) | 5 Grams(5942184) | 25 Grams(8272934)
ALIGN,Donny Burger Live Hash Rosin 70-159u,"DBLR1,DBLR5",0,via SKU,1.0,1 Gram(DBLR1) | 5 Grams(DBLR5)
ALIGN,Fatso Live Hash Rosin 70-159u,"115175D,N517151,2439165",0,via SKU,1.0,1 Gram(115175D) | 2.5 Grams(N517151) | 5 Grams(2439165)
ALIGN,GMO Bubble Hash (THCA 56.02%),"GMOBH1,GMOBH5,GMOBH10",0,via SKU,1.0,1 Gram(GMOBH1) | 5 Grams(GMOBH5) | 10 Grams(GMOBH10)
ALIGN,Live Bubble Hash 70-120u,"GFBH1,GFBH5,GFBH10,GFBH25,GMBH1,GMBH5,GMBH10,GMBH25",0,via SKU,1.0,Grape Fog - 1 Gram(GFBH1) | Grape Fog - 5 Grams(GFBH5) | Grape Fog - 10 Grams(GFBH10) | Grape Fog - 25 Grams(GFBH25) | Gush Mints - 1 Gram(GMBH1) | Gush Mints - 5 Grams(GMBH5) | Gush Mints - 10 Grams(GMBH10) | Gush Mints - 25 Grams(GMBH25)
REVIEW,Lung Candy (Indica - 31.6% THCA),"2415103,5031040,707665J,367729X",0,Dragon (Indica - 31.29% THCA),0.43,3.5 Grams(2415103) | 7 Grams(5031040) | 14 Grams(707665J) | 28 Grams(367729X)
REVIEW,Mcflurry (Hybrid - 32.4% THCA),"1642806,S499499,S412678,F284270",0,Cap Junky (Hybrid- 32.13% THCA),0.43,3.5 Grams(1642806) | 7 Grams(S499499) | 14 Grams(S412678) | 28 Grams(F284270)
ALIGN,Permanent Pineapple (Sativa - 32.90% THCA),"9148591,V318578,T104773,337584G",0,via SKU,1.0,3.5 Grams(9148591) | 7 Grams(V318578) | 14 Grams(T104773) | 28 Grams(337584G)
ALIGN,Type Z Live Rosin (75.70% THCA),"7753677,A962894",0,via SKU,1.0,1 Gram(7753677) | 5 Grams(A962894)
ALIGN,Galactic Cookies (Indica - 30.21%THCA),"350894A,J247736,639748Z,K166581",0,via SKU,1.0,3.5 Grams(350894A) | 7 Grams(J247736) | 14 Grams(639748Z) | 28 Grams(K166581)
REVIEW,Helium ( Hybrid - 34.80 % THCA),"754122P,406240K,G649397",0,Biscotti Live Resin (Hybrid - 80.72% THCA),0.33,3.5 grams(754122P) | 7 Grams(406240K) | 14 Gram(G649397)
ALIGN,Huckelberry Soda (25.05% THCA) Indica,"2315017,W262612,B221105,6493281",0,via SKU,1.0,3.5 Grams(2315017) | 7 Grams(W262612) | 14 Grams(B221105) | 28 Grams(6493281)
REVIEW,Mango Afghani (Indica - 25.5%THCA),"685768L,664156K,127021E,G406962",0,Ghost OG (Indica - 25.11% THCA),0.38,3.5 Grams(685768L) | 7 Grams(664156K) | 14 Grams(127021E) | 28 Grams(G406962)
ALIGN,Donny Burger (Indica - 24.64% THCA),"785623C,N187735,584023B,112866E",0,via SKU,1.0,3.5 Grams(785623C) | 7 Grams(N187735) | 14 Grams(584023B) | 28 Grams(112866E)
REVIEW,Sugar Tarts (Hybrid - 28.92% THCA),"X201766,7726484,838257Y,377831W",0,Upgrade (Hybrid - 28.53% THCA),0.38,3.5 Grams(X201766) | 7 Grams(7726484) | 14 Grams(838257Y) | 28 Grams(377831W)
ALIGN,Candy Gelada Live Rosin (75.93% THCA),"L464304,A398265",0,via SKU,1.0,1 Gram(L464304) | 5 Grams(A398265)
REVIEW,Cosmic Nectar Live Rosin (72.63% THCA),"F378666,V205062",0,Temple Lemonade Live Rosin (73.1% THCA),0.3,1 Gram(F378666) | 5 Grams(V205062)
ALIGN,seahorse,Y720680,0,via SKU,1.0,Regular(Y720680)
ALIGN,Oreoz (Hybrid - 25.42% THCA),"3383609,915031E,N207498,K014724",0,Blockberry (Hybrid - 25.42% THCA),0.67,3.5 Grams(3383609) | 7 Grams(915031E) | 14 Grams(N207498) | 28 Grams(K014724)
ALIGN,Gata Juice Fruit Punch 10mg,335887J,0,via SKU,1.0,Regular(335887J)
ALIGN,butter knife,1923405,0,via SKU,1.0,Regular(1923405)
ALIGN,Kundalini Sherbet (Hybrid - 30.35% THCA),"940193T,9739330,G622315,A749346",0,Kundalini Sherbet (Hybrid - 30.64% THCA),0.71,3.5 Grams(940193T) | 7 Grams(9739330) | 14 Grams(G622315) | 28 Grams(A749346)
REVIEW,Blue Cookies Live Resin (Hybrid - 74.54% THCA),"4699431,G586225,716984E,K218542",0,Biscotti Live Resin (Hybrid - 80.72% THCA),0.36,2.5 Grams(4699431) | 5 Grams(G586225) | 10 Grams(716984E) | 25 Grams(K218542)
ALIGN,Strawnana Live Resin (Hybrid - 72.18% THCA),"1828436,4169627,N672532,T831518",0,Biscotti Live Resin (Hybrid - 80.72% THCA),0.56,2.5 Gram(1828436) | 5 Grams(4169627) | 10 Grams(N672532) | 25 Grams(T831518)
ALIGN,Purple Gas (Indica - 25.74% THCA),"915744C,6191899,Y224309,P576326",0,via SKU,1.0,3.5 Grams(915744C) | 7 Grams(6191899) | 14 Grams(Y224309) | 28 Grams(P576326)
REVIEW,Straw Jack Live Resin (Sativa - 72.59% THCA),"Y455995,Q278739,D803201,6043457",0,Biscotti Live Resin (Hybrid - 80.72% THCA),0.36,2.5 Grams(Y455995) | 5 Grams(Q278739) | 10 Grams(D803201) | 25 Grams(6043457)
REVIEW,White Bubba Live Resin (Indica - 74.38% THCA),"Q319853,1167093,4751371,793635B",0,Orange Cheesecake Live Resin (Indica - 86.13% THCA),0.33,2.5 Grams(Q319853) | 5 Grams(1167093) | 10 Grams(4751371) | 25 Grams(793635B)
ALIGN,Crunchy Lavender,"740872H,A327678",0,via SKU,1.0,Single Can(740872H) | 4-Pack(A327678)
ALIGN,Apple Tart (Hybrid - 26.20% THCA),"6059765,3151853,P170796,J470466",0,via SKU,1.0,3.5 Grams(6059765) | 7 Grams(3151853) | 14 Grams(P170796) | 28 Grams(J470466)
ALIGN,Blue Dream (Sativa - 32.77% THCA),"1631394,101648Q,683645A,1281754",0,via SKU,1.0,3.5 Grams(1631394) | 7 Grams(101648Q) | 14 Grams(683645A) | 28 Grams(1281754)
ALIGN,Sasquatch Breath (Indica - 28.21% THCa),"665564T,250728P,7611916,654209E",0,via SKU,1.0,3.5 Grams(665564T) | 7 Grams(250728P) | 14 Grams(7611916) | 28 Grams(654209E)
REVIEW,Royal Kush (Hybrid - 18.2% THCa),"2966538,R832327,J621807,K295929",0,Baccio (24.64% THCA) Hybrid,0.25,3.5 Grams(2966538) | 7 Grams(R832327) | 14 Grams(J621807) | 28 Grams(K295929)
ALIGN,SMALLS Sasquatch Breath (Indica - 28.21% THCa),"2725069,654611M,3639107,6205067",0,via SKU,1.0,3.5 Grams(2725069) | 7 Grams(654611M) | 14 Grams(3639107) | 28 Grams(6205067)
REVIEW,Grape Cream (Hybrid - 30.52%THCA),"1991788,413143V,S979370,369061N",0,Grape Frosty (Indica - 30.63% THCA),0.33,3.5 Grams(1991788) | 7 Grams(413143V) | 14 Grams(S979370) | 28 Grams(369061N)
ALIGN,grinder,R661378,0,via SKU,1.0,Regular(R661378)
ALIGN,Q7 quartz Taste,547753N,0,via SKU,1.0,Regular(547753N)
ALIGN,Ice Cream Cake (Hybrid- 32.89% THCA),"Z302815,5870336,3467875,6914059",0,via SKU,1.0,3.5 Grams(Z302815) | 7 Grams(5870336) | 14 Grams(3467875) | 28 Grams(6914059)
ALIGN,Alice Mushroom Chocolates,"L451235,3343013,956234Y",0,via SKU,1.0,Happy Ending(L451235) | Nightcap(3343013) | Brainstorm(956234Y)
ALIGN,LA Pop Rocks,"C388313,371714M,J989880,N163964",0,via SKU,1.0,3.5 Grams(C388313) | 7 Grams(371714M) | 14 Grams(J989880) | 28 Grams(N163964)
ALIGN,Jack Frosty (Sativa - 29.15% THCA),"111784X,133420J,F036014,818165S",0,via SKU,1.0,3.5 Grams(111784X) | 7 Grams(133420J) | 14 Grams(F036014) | 28 Grams(818165S)
ALIGN,Preroll mini pack,"F908341,H126160,V681406,G456927",0,via SKU,1.0,Versace(F908341) | Apple Tarts(H126160) | Double Runtz(V681406) | House Hybrid(G456927)
ALIGN,Sundae Driver (Hybrid - 22.85% THCA),"465741P,D200873,629952G,174542A",0,via SKU,1.0,3.5 Grams(465741P) | 7 Grams(D200873) | 14 Grams(629952G) | 28 Grams(174542A)
REVIEW,Gorilla Glue #4 (Hybrid - 25.79% THCA),"N127283,S190056,5613166,636231Y",0,Blockberry (Hybrid - 25.42% THCA),0.38,3.5 Grams(N127283) | 7 Grams(S190056) | 14 Grams(5613166) | 28 Grams(636231Y)
REVIEW,Headband OG (Hybrid - 23.21% THCA),"826040Q,1967303,426097V,C021813",0,Animal Mintz (23.20% THCA Hybrid),0.33,3.5 Grams(826040Q) | 7 Grams(1967303) | 14 Grams(426097V) | 28 Grams(C021813)
REVIEW,White Widow (Hybrid - 26.62% THCA),"1223490,955579Q,P065513,8826415",0,Apple Tart (Hybrid - 26.20% THCA),0.33,3.5 Grams(1223490) | 7 Grams(955579Q) | 14 Grams(P065513) | 28 Grams(8826415)
ALIGN,bubbles,8277197,0,via SKU,1.0,Regular(8277197)
ALIGN,Jack Fruit(Hybrid- 29.89% THCA),"T015600,5578232,9822288,G816211",0,via SKU,1.0,3.5 Grams(T015600) | 7 Grams(5578232) | 14 Grams(9822288) | 28 Grams(G816211)
REVIEW,Zkittlez Tier 1 Live Rosin (Hybrid 78.29% THCA),"1424144,388062Y",0,Purple Haze Live Rosin (THCA 78.06%),0.36,1 Gram(1424144) | 5 Grams(388062Y)
REVIEW,GMO x Government Oasis Tier 2 Live Rosin (Indica - 77.78% THCA),"8017305,388062y-2",0,Blackberry Maple Tier 1 Live Rosin (Indica - 71.70% THCA),0.36,1 Gram(8017305) | 5 Grams(388062y-2)
REVIEW,Moroccan Peaches Tier 2 Live Rosin (Hybrid - 75.34% THCA),"6052145,9955794",0,Lip Smackers Tier 2 Live Rosin (Hybrid - 75.93%),0.42,1 Gram(6052145) | 5 Grams(9955794)
ALIGN,Lip Smackers Tier 2 Live Rosin (Hybrid - 75.93%),"V507592,Z961410",0,via SKU,1.0,1 Gram(V507592) | 5 Gram(Z961410)
ALIGN,Kenetik Drinks,"659926X,Y586304,5055309",0,via SKU,1.0,Performance Shot(659926X) | Blackberry Lemonade(Y586304) | Strawberry Peach(5055309)
ALIGN,Forbidden Gas - (Indica - 24.22% THCA),"H685920,120451K,A940829,N884026",0,via SKU,1.0,3.5 Grams(H685920) | 7 Grams(120451K) | 14 Grams(A940829) | 28 Grams(N884026)
REVIEW,White Widow (Hybrid - 26.62% THCA),"640568H,987342H,F733128,7106766",0,Apple Tart (Hybrid - 26.20% THCA),0.33,3.5 Grams(640568H) | 7 Grams(987342H) | 14 Grams(F733128) | 28 Grams(7106766)
REVIEW,GMO Crasher (Hybrid - 33.28% THCA),"R450339,1038540,P556389,6118178",0,Upgrade (Hybrid - 28.53% THCA),0.38,3.5 Grams(R450339) | 7 Grams(1038540) | 14 Grams(P556389) | 28 Grams(6118178)
ALIGN,Gift Card ,E427650,0,via SKU,1.0,Regular(E427650)
ALIGN,The Hero Seed,W942312,0,via SKU,1.0,Regular(W942312)
REVIEW,Gelatti Live Resin,"5314997,R887867,8489084,662814A",0,GMO Live Resin  (86.58% THCA),0.29,2.5 Grams(5314997) | 5 Grams(R887867) | 10 Grams(8489084) | 25 Grams(662814A)
ALIGN,vase,130182K,0,via SKU,1.0,Regular(130182K)
ALIGN,Lemon Meringue x Cheese (Sativa - 26.38% THCA),"S374877,M060805,G780015,V578177",0,via SKU,1.0,3.5 Grams(S374877) | 7 Grams(M060805) | 14 Grams(G780015) | 28 Grams(V578177)
ALIGN,Gelonade x Lemonatti (Sativa - 28.56% THCA),"8667278,1895156,7019566,7339874",0,via SKU,1.0,3.5 Grams(8667278) | 7 Grams(1895156) | 14 Grams(7019566) | 28 Grams(7339874)
REVIEW,Mermaid Tail (Hybrid - 31.13% THCA),"N934783,1465064,621248E,696080T",0,Kryptonite (Hybrid - 31.68% THCA),0.38,3.5 Grams(N934783) | 7 Grams(1465064) | 14 Grams(621248E) | 28 Grams(696080T)
ALIGN,THCA Prerolls,X074859,0,via SKU,1.0,Regular(X074859)
ALIGN,mini disc,955931M,0,via SKU,1.0,Regular(955931M)
ALIGN,Dark Rainbow (Indica - 27.94% THCA),"938575G,133119G,498177C,S109752",0,via SKU,1.0,3.5 Grams(938575G) | 7 Grams(133119G) | 14 Grams(498177C) | 28 Grams(S109752)
ALIGN,Punch Breath (Hybrid - 26.23% THCA),"9150887,8752996,2009893,7060435",0,via SKU,1.0,3.5 Grams(9150887) | 7 Grams(8752996) | 14 Grams(2009893) | 28 Grams(7060435)
ALIGN,Blueberry Muffin (Indica- 28.90% THCA),"6066199,S595547,Q891957,R117594",0,via SKU,1.0,3.5 Grams(6066199) | 7 Grams(S595547) | 14 Grams(Q891957) | 28 Grams(R117594)
ALIGN,big vase,206943T,0,via SKU,1.0,Regular(206943T)
ALIGN,Venom OG (Indica - 28.42% THCA),"3855637,M295517,B718891,220696P",0,via SKU,1.0,3.5 Grams(3855637) | 7 Grams(M295517) | 14 Grams(B718891) | 28 Grams(220696P)
ALIGN,Insane Pound Cake (Indica - 24.30% THCA),"Q880446,9533939,1175782,P152051",0,via SKU,1.0,3.5 Grams(Q880446) | 7 Grams(9533939) | 14 Grams(1175782) | 28 Grams(P152051)
REVIEW,Blue Lotus Sleep Gummy,T509173,0,Blue Lotus Sweet Dream Sleep Gummies - 5MG Melatonin - THC & CBD FREE,0.25,Regular(T509173)
ALIGN,Living Water,"201249M,5699541",0,via SKU,1.0,Peach Honey(201249M) | Mango Guava(5699541)
ALIGN,Super Boof (Hybrid - 26.94% THCA),"W609596,S742776,840589M,4995710",0,via SKU,1.0,3.5 Grams(W609596) | 7 Grams(S742776) | 14 Grams(840589M) | 28 Grams(4995710)
ALIGN,Permanent Marker (Indica -25.06 % THCA),"L679132,566671D,900285S,Q211133",0,via SKU,1.0,3.5 Grams(L679132) | 7 Grams(566671D) | 14 Grams(900285S) | 28 Grams(Q211133)
REVIEW,Mac 1 (Hybrid- 29.76% THCA),"347230J,908141D,A003475,N367786",0,Upgrade (Indica -  29.76% THCA),0.43,3.5 Grams(347230J) | 7 Grams(908141D) | 14 Grams(A003475) | 28 Grams(N367786)
REVIEW,Candy Jack (Sativa- 23.20% THCA),"X867925,W899885,Y925349,9122716",0,Jack Herer (Sativa - 37.4% THCA),0.38,3.5 Grams(X867925) | 7 Grams(W899885) | 14 Grams(Y925349) | 28 Grams(9122716)
REVIEW,Lemon Tree (Hybrid - 24.42% THCA),"7051686,E462726,232813F,L411377",0,Giraffe Pussy (Sativa Hybrid - 24.42% THCA),0.44,3.5 Grams(7051686) | 7 Grams(E462726) | 14 Grams(232813F) | 28 Grams(L411377)
ALIGN,Animal Mintz (23.20% THCA Hybrid),"615735K,845961R,434636J,6678167",0,via SKU,1.0,3.5 Grams(615735K) | 7 Grams(845961R) | 14 Grams(434636J) | 28 Grams(6678167)
ALIGN,Cap Junky (Hybrid- 32.13% THCA),"5886015,6017571,869506H,6379660",0,via SKU,1.0,3.5 Grams(5886015) | 7 Grams(6017571) | 14 Grams(869506H) | 28 Grams(6379660)
ALIGN,Gas Face Mediums & Smalls (Hybrid - 29.03% THCA),"266367K,V829597,4805423,6410340",0,via SKU,1.0,3.5 Grams(266367K) | 7 Grams(V829597) | 14 Grams(4805423) | 28 Grams(6410340)
REVIEW,Crunchberry (Hybrid - 27.71% THCA),"S511333,6101422,8816913,4176325",0,Baccio (24.64% THCA) Hybrid,0.25,3.5 Grams(S511333) | 7 Grams(6101422) | 14 Grams(8816913) | 28 Grams(4176325)
ALIGN,wax brittle,2507002,0,via SKU,1.0,Regular(2507002)
REVIEW,Versace (Hybrid - 22.33% THCA),"760189V,1554147,771340B,2925775",0,Sundae Driver (Hybrid - 22.85% THCA),0.38,3.5 Grams(760189V) | 7 Grams(1554147) | 14 Grams(771340B) | 28 Grams(2925775)
ALIGN,Sunset Sherbert (Hybrid - 19.04% THCA),"8776032,684653D,5297954,567531L",0,via SKU,1.0,3.5 Grams(8776032) | 7 Grams(684653D) | 14 Grams(5297954) | 28 Grams(567531L)
REVIEW,Sour Skittlez (Sativa- 15.62% THCA),"X666406,7729368,1633265,A027452",0,Jack Frosty (Sativa - 29.15% THCA),0.33,3.5 Grams(X666406) | 7 Grams(7729368) | 14 Grams(1633265) | 28 Grams(A027452)
REVIEW,Papaya Plum Tier 2 Rosin (Hybrid - 75.28% THCa),"H298091,9202051",0,Honey Banana Tier 2 Rosin (Hybrid - 62.31% THCA),0.33,1 Gram(H298091) | 5 Grams(9202051)
ALIGN,Orange Cheesecake Live Resin (Hybrid - 86.13% THCA),"9659548,W587595,483047F,L166422",0,Orange Cheesecake Live Resin (Indica - 86.13% THCA),0.78,2.5 Grams(9659548) | 5 Grams(W587595) | 10 Grams(483047F) | 25 Grams(L166422)
REVIEW,Big Dipper (Hybrid- 31.45% THCA),"K106353,4359519,M843347,H593387",0,Kryptonite (Hybrid - 31.68% THCA),0.38,3.5 Grams(K106353) | 7 Grams(4359519) | 14 Grams(M843347) | 28 Grams(H593387)
REVIEW,Sour Candy (Hybrid- 30.74% THCA),"9478387,9966787,K858195,X089238",0,Kundalini Sherbet (Hybrid - 30.64% THCA),0.33,3.5 Grams(9478387) | 7 Grams(9966787) | 14 Grams(K858195) | 28 Grams(X089238)
ALIGN,Grape Frosty (Indica- 16.83% THCA),"4526470,1825501,958685X,245383G",0,Grape Frosty (Indica - 30.63% THCA),0.5,3.5 Grams(4526470) | 7 Grams(1825501) | 14 Grams(958685X) | 28 Grams(245383G)
ALIGN,Purple Haze (Sativa- 30.74% THCA),"T306931,Z833578,886503Z,S620366",0,via SKU,1.0,3.5 Grams(T306931) | 7 Grams(Z833578) | 14 Grams(886503Z) | 28 Grams(S620366)
ALIGN,Cannabis Candle,7580695,0,via SKU,1.0,Regular(7580695)
ALIGN,Flower 1/4,Q209761,0,via SKU,1.0,Regular(Q209761)
ALIGN,Vape,T673870,0,via SKU,1.0,Regular(T673870)
ALIGN,Preroll 5,T015316,0,via SKU,1.0,Regular(T015316)
ALIGN,Preroll 10,9388485,0,via SKU,1.0,Regular(9388485)
ALIGN,Flower 1/4 35,4500307,0,via SKU,1.0,Regular(4500307)
